월,순위,타이틀,가수
6,9,다섯 번째 계절 (SSFWL),오마이걸 (OH MY GIRL)
6,10,고고베베 (gogobebe),마마무 (Mamamoo)
6,11,YES or YES,TWICE (트와이스)
6,12,Snapping,청하
6,13,BIRTHDAY,전소미
6,14,Love Shot,EXO
6,15,Dance The Night Away,TWICE (트와이스)
6,16,MILLIONS,WINNER
6,17,Tempo,EXO
6,18,BREATHE,AB6IX (에이비식스)
6,19,Don't Know What To Do,BLACKPINK
6,20,Roller Coaster,청하
6,21,Power Up,Red Velvet (레드벨벳)
6,22,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원)
6,23,빨간 맛 (Red Flavor),Red Velvet (레드벨벳)
6,24,9-TEEN,세븐틴
6,25,뿜뿜,모모랜드 (MOMOLAND)
6,26,Forever Young,BLACKPINK
6,27,사이렌 (Siren),선미
6,28,What is Love?,TWICE (트와이스)
6,29,Boogie Up,우주소녀
6,30,마지막처럼,BLACKPINK
6,31,Senorita,(여자)아이들
6,32,Love U,청하
6,33,REALLY REALLY,WINNER
6,34,별이 빛나는 밤,마마무 (Mamamoo)
6,35,1도 없어,Apink (에이핑크)
6,36,CHEER UP,TWICE (트와이스)
6,37,I'm So Hot,모모랜드 (MOMOLAND)
6,38,BLUE MOON (Prod. GroovyRoom),"효린, 창모 (CHANGMO)"
6,39,에너제틱 (Energetic),Wanna One (워너원)
6,40,불타오르네 (FIRE),방탄소년단
6,41,밤 (Time for the moon night),여자친구 (GFRIEND)
6,42,해야 (Sunrise),여자친구 (GFRIEND)
6,43,Heart Shaker,TWICE (트와이스)
6,44,너나 해 (Egotistic),마마무 (Mamamoo)
6,45,Why Don't You Know (Feat. 넉살),청하
6,46,Universe (별의 언어),황민현
6,47,아주 NICE,세븐틴
6,48,SHAKE IT,씨스타
6,49,BET BET,뉴이스트
6,50,LIKEY,TWICE (트와이스)
6,51,불장난,BLACKPINK
6,52,"한두 번 (1, 2) (Feat. CHOI HYUN SUK of TREASURE)",이하이
6,53,LATATA,(여자)아이들
6,54,ME&YOU,EXID
6,55,비행기,거북이
6,56,러시안 룰렛 (Russian Roulette),Red Velvet (레드벨벳)
6,57,Bad Boy,Red Velvet (레드벨벳)
6,58,BAAM,모모랜드 (MOMOLAND)
6,59,여름여름해 (Sunny Summer),여자친구 (GFRIEND)
6,60,그 시절 우리가 사랑했던 우리 (Beautiful Days),러블리즈
6,61,TT,TWICE (트와이스)
6,62,누아르 (Noir),선미
6,63,가시나,선미
6,64,Why,태연 (TAEYEON)
6,65,Feedback (Feat. 넉살),보아 (BoA)
6,66,어쩌나,세븐틴
6,67,Sunny Side Up!,Red Velvet (레드벨벳)
6,68,I NEED U,방탄소년단
6,69,Superhuman,NCT 127
6,70,Loving U (러빙유),씨스타
6,71,8282,다비치
6,72,ISLAND,WINNER
6,73,FUN!,프로미스나인
6,74,Decalcomanie (데칼코마니),마마무 (Mamamoo)
6,75,Save ME,방탄소년단
6,76,한(一),(여자)아이들
6,77,빙글뱅글 (Bingle Bangle),AOA
6,78,%% (응응),Apink (에이핑크)
6,79,오늘부터 우리는 (Me Gustas Tu),여자친구 (GFRIEND)
6,80,봄바람,Wanna One (워너원)
6,81,사랑과 전쟁 (Narr. 하하),다비치
6,82,비밀정원,오마이걸 (OH MY GIRL)
6,83,Chica,청하
6,84,피카부 (Peek-A-Boo),Red Velvet (레드벨벳)
6,85,KNOCK KNOCK,TWICE (트와이스)
6,86,시간을 달려서 (Rough),여자친구 (GFRIEND)
6,87,New Face,싸이 (PSY)
6,88,불꽃놀이 (Remember Me),오마이걸 (OH MY GIRL)
6,89,스물셋,아이유
6,90,좋은 날,아이유
6,91,Touch My Body,씨스타
6,92,PARTY,소녀시대 (GIRLS' GENERATION)
6,93,몰라도 너무 몰라,WINNER
6,94,Heart Sign (Prod. Flow Blow),옹성우
6,95,Lullaby,GOT7 (갓세븐)
6,96,너랑 나,아이유
6,97,파도,유엔
6,98,하루 끝,아이유
6,99,나로 말할 것 같으면 (Yes I am),마마무 (Mamamoo)
6,100,주인공,선미
7,1,Snapping,청하
7,2,FANCY,TWICE (트와이스)
7,3,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이
7,4,짐살라빔 (Zimzalabim),Red Velvet (레드벨벳)
7,5,열대야 (Fever),여자친구 (GFRIEND)
7,6,달라달라,ITZY (있지)
7,7,BIRTHDAY,전소미
7,8,벌써 12시,청하
7,9,AH YEAH (아예),WINNER
7,10,U GOT IT,갓츄 (GOT U)
7,11,Love Shot,EXO
7,12,Dance The Night Away,TWICE (트와이스)
7,13,이뻐이뻐 (Pretty girl),크레파스
7,14,움직여 (MOVE) (Prod. by ZICO),SIXC (6 crazy)
7,15,멍청이(twit),화사 (Hwa Sa)
