발매일,타이틀,아티스트,프로듀서,1주 순위,2주 순위,4주 순위
2022.09.26~2022.10.02,Fairy tale,Siya,,,,
2022.09.26~2022.10.02,Muse,말든 (Marldn),,,,
2022.09.26~2022.10.02,순정,맨디(Mandy),,,,
2022.09.26~2022.10.02,Brand New,시우민(XIUMIN),,,,
2022.09.26~2022.10.02,DRIVE,LENNY MAKES SOME-THING (레니메익썸띵),,,,
2022.09.26~2022.10.02,CHEERS!,EVO,,,,
2022.09.26~2022.10.02,My Soul Can Reach,올빼미(Owlpemy),,,,
2022.09.26~2022.10.02,Magical Symphony,ADORA,,,,
2022.09.26~2022.10.02,Swing baby,헤리티지 매스콰이어,,,,
2022.09.19~2022.09.25,가끔 이러다 (2022),DOKO(도코),,,,
2022.09.19~2022.09.25,Goodbye Summer,김아름,,,,
2022.09.19~2022.09.25,mAiDeN,이서형,,,,
2022.09.19~2022.09.25,Left my heart in LA (Feat. Samson),Blake Kim (블레이크킴),,,,
2022.09.19~2022.09.25,사랑이라 부를 수 있을까,CLASS:y (클라씨),,,,
2022.09.19~2022.09.25,The Scientist,정엽,,,,
2022.09.19~2022.09.25,줄서,딘딘 (DINDIN),,,,
2022.09.19~2022.09.25,언젠가는,박봄 (Park Bom),,,,
2022.09.19~2022.09.25,Drive!,기수(KISU),,,,
2022.09.19~2022.09.25,꽐라송 (feat.미풍),슈로제(SHUROSE),,,,
2022.09.19~2022.09.25,How Do I Love Thee,미코로우 (Mykolow),,,,
2022.09.19~2022.09.25,Every Time You Call My Name,갓퍼스트(God First),,,,
2022.09.19~2022.09.25,UNFORGETTABLE (STAGE) (feat. 한해) (Prod. 이대휘),이대휘 (AB6IX),,,,
2022.09.19~2022.09.25,난 여자가 있는데,이안,,,,
2022.09.19~2022.09.25,꽃 같은 그대,블랙하운즈(Black Hounds),,,,
2022.09.19~2022.09.25,점점 (Feat. 공시아),Musist,,,,
2022.09.19~2022.09.25,짧은 밤,채주형,,,,
2022.09.19~2022.09.25,Turn On,이아람,,,,
2022.09.19~2022.09.25,Im Tired,레이디오울 (Lady Owl),,,,
2022.09.19~2022.09.25,Sugar Rush,Kep1er (케플러),,,,
2022.09.19~2022.09.25,LIMBO (Korean Ver.),준 (SEVENTEEN),,,,
2022.09.19~2022.09.25,오늘부터 1일,김동현,,,,
2022.09.19~2022.09.25,이별행성,샤인(Shine),,,,
2022.09.19~2022.09.25,물음표,공상,,,,
2022.09.19~2022.09.25,RAMBO,DIGNITY(디그니티),,,,
