발매일,타이틀,아티스트,프로듀서,점수
2022.02.21~2022.02.27,Whiskey,비투비,"이민혁,AFTRSHOK,김건우",0.0689971
2022.02.21~2022.02.27,춤 (Dance With Me),비투비,"임현식,제이스틴,한상욱",0.0689971
2022.02.14~2022.02.20,INVU,태연 (TAEYEON),"Peter Wallevik,Daniel Davidsen,Tich,Jess Morgan,PhD",0.5542406
2022.02.14~2022.02.20,어른아이 (Toddler),태연 (TAEYEON),"Salem Davern,William Leong",0.5542406
2022.02.14~2022.02.20,Timeless,태연 (TAEYEON),"Alida Garpestad Peck,Sean Fischer,Ben Samama",0.5542406
2022.02.14~2022.02.20,Cold As Hell,태연 (TAEYEON),"Lara Andersson,Manon van Dijk,Amanda Cygnaeus,Nova Blue,Marcus Van Wattum,Kasperi A. Pitkanen",0.5542406
2022.02.14~2022.02.20,You Better Not,태연 (TAEYEON),"Celine Svanback,Hilda Stenmalm,Jeppe London,Ryan S. Jhun",0.5542406
2022.02.14~2022.02.20,No Love Again,태연 (TAEYEON),"Alma Gudmundsdottir,Alida Garpestad Peck,Marc Sibley,Nathan Cunningham,Space Primates",0.5542406
2022.02.14~2022.02.20,Dilemma,Apink (에이핑크),"B.E.P,전군,라도",0.4985651
2022.02.07~2022.02.13,난리나,전소연,nan,0.4824817
2022.01.31~2022.02.06,Best Friend (We Can),Weeekly (위클리),nan,0.274073
2022.01.31~2022.02.06,The Feels (Benny Benassi Remix),TWICE (트와이스),nan,3.9928518
2022.01.24~2022.01.30,성인식,효린,nan,0.19525
2022.01.17~2022.01.23,Rain Dance,Daniel Kim,nan,0.0329762
2022.01.17~2022.01.23,LUNATIC,문별 (마마무),"이상호,서용배,이후상,김민기,박현규,Inner Child",0.040987
2022.01.17~2022.01.23,I'll be your Energy,권은비,nan,0.0125121
2022.01.17~2022.01.23,Chronograph,VICTON(빅톤),nan,0.009068
2022.01.17~2022.01.23,"1, 2, 3",AB6IX (에이비식스),nan,0.0646642
2022.01.17~2022.01.23,DM,프로미스나인,"이우민 'Collapsedone',Justin Reinstein,Louise Frick Sveen,Caroline Gustavsson",0.1908343
2022.01.10~2022.01.16,8282,효린,nan,0.19525
2022.01.10~2022.01.16,Yummy Yummy Love,모모랜드(MOMOLAND),nan,0.2867449
2022.01.10~2022.01.16,Layin' Low (feat. Jooyoung),효린,"Robyn The Bank,Ludvig Evers a.k.a Moonshine,Jonatan Gusmark,효린,주영,John OFA Rhee",0.19525
2022.01.03~2022.01.09,The Call,League of Legends,nan,0.0365341
2022.01.03~2022.01.09,"Weapon (With 뉴니온, 플로어) (Prod. Czaer)",ITZY (있지),"Czaer,NODAY,Michelle Buzz",2.1569777
