가수,점수
JessCorazza,0.011615
SamanthaHarper,0.0115499
AshtonFoster,0.0115499
RayMichaelDjanJr,0.0115499
StrayKids(스트레이키즈),0.0115245
KristinCarpenter,0.011478
SimonJonasson,0.011478
GustavLandell,0.011478
마미손,0.0113314
제국의아이들(ZE:A),0.0112809
NazTokio,0.0112038
EricZayne,0.0112038
아이오아이(I.O.I),0.0110997
ThaAristocrats,0.0110315
MikeJiminez,0.0110315
DamonThomas,0.0110315
BoyMatthews,0.0108525
PhD,0.0108525
DanielDavidsen,0.0108525
PeterWallevik,0.0108525
AsiaWhiteacre,0.0108525
티아라,0.0108462
DariusMartin,0.0108297
Coach&Sendo,0.0107955
최수정,0.010745
이정현,0.010745
문스톤,0.010745
박현우,0.0106593
NinosHanna,0.010617
아르마딜로,0.0104014
이의광,0.010347
신예찬,0.010347
최병준,0.010347
박제신,0.010347
임민기,0.010347
JakeTorrey,0.0103131
씨야,0.0102408
샘카터,0.0102385
배기현,0.0102385
th!nk,0.0102385
빌리카빈,0.0102385
박수석,0.0099471
GavinJones,0.0098697
Takey,0.0097482
AlSwettenham,0.0097482
GeekBoy,0.0097482
붐바스틱,0.0097404
SAAY,0.009717
RyanLinvill,0.00964
TonyFerrari,0.00964
RolloSpreckley,0.00964
민니,0.0095338
젝스키스,0.0094904
Shannon,0.009383
식케이,0.009383
PRISMFILTER,0.009383
로빈,0.0093732
정일훈,0.0093691
손영진,0.0093691
라이엇게임즈뮤직팀,0.0092985
탁,0.0092881
국.슈(국프의핫이슈),0.0092806
비스트,0.009235
김기리,0.009235
신지훈,0.009235
노지훈,0.009235
4minute,0.009235
지나,0.009235
허각,0.009235
AlexanderKarlsson,0.0092
데.비(데일리비타민),0.009183
원택,0.0090956
VICTON(빅톤),0.009068
서지은,0.0088686
Czaer,0.008844
라치카(LACHICA),0.008844
S.COUPS,0.0088008
GOT7(갓세븐),0.0087316
FCM후디니,0.0086223
이트라이브,0.0085605
맴맴,0.0085488
JINU(김진우),0.0085
백현(BAEKHYUN),0.0084916
CHOICE37,0.008482
어벤전승,0.0084215
G.고릴라,0.0083355
이근호,0.0083355
