Id,Label,timeset,Weighted Degree,eigencentrality
AlexanderKarlsson,AlexanderKarlsson,,0.009049,0.034368
CameronNeilson,CameronNeilson,,0.017392,0.046205
MarcelBotezan,MarcelBotezan,,0.013704,0.053933
LudvigEversa.k.aMoonshine,LudvigEversa.k.aMoonshine,,0.112027,0.183978
레드벨벳-아이린&슬기,레드벨벳-아이린&슬기,,0.02796,0.044735
BUMZU,BUMZU,,0.247086,0.032389
정윤,정윤,,0.081345,0.071206
다운,다운,,0.006474,0.07358
진리,진리,,0.014437,0.028671
다솜,다솜,,0.083403,0.041051
Vince,Vince,,0.009328,0.033287
전소미,전소미,,0.311104,0.033162
IMLAY,IMLAY,,0.043833,0.162401
규현(KYUHYUN),규현(KYUHYUN),,0.005023,0.05076
AlexNese,AlexNese,,0.009049,0.034368
ITZY(있지),ITZY(있지),,1.647134,0.277995
박문치,박문치,,0.06585,0.035269
SAAY,SAAY,,0.019434,0.088821
AWA,AWA,,0.054237,0.009294
MNEK,MNEK,,0.06518,0.138386
AndreasBaertels,AndreasBaertels,,0.112024,0.138386
EllaIsaacson,EllaIsaacson,,0.176525,0.088821
BrittenNewbill,BrittenNewbill,,0.016219,0.017488
TonyFerrari,TonyFerrari,,0.01928,0.034368
현아&던,현아&던,,0.253334,0.023019
영광의얼굴들,영광의얼굴들,,0.046073,0.04241
NCTU,NCTU,,0.362034,0.34179
RedVelvet(레드벨벳),RedVelvet(레드벨벳),,1.269328,0.294745
화사,화사,,0.4771,0.033595
매드몬스터(MADMONSTER),매드몬스터(MADMONSTER),,0.007598,0.002241
SophieCurtis,SophieCurtis,,0.134027,0.088821
박재정,박재정,,0.592544,0.168484
박제신,박제신,,0.020694,0.007613
RufioSandilands,RufioSandilands,,0.000305,0.07358
PhD,PhD,,0.021705,0.034368
MINO,MINO,,0.087434,0.007941
문정규,문정규,,0.012328,0.004399
ScottQuinn,ScottQuinn,,0.002914,0.046887
MarioMarchetti,MarioMarchetti,,0.125593,0.088821
紀佳松,紀佳松,,0.046456,0.069198
MichaelMatosic,MichaelMatosic,,0.006003,0.013848
RyanS.Jhun,RyanS.Jhun,,0.940519,0.40075
ARCADES,ARCADES,,0.025421,0.07358
탁,탁,,0.010504,0.003154
CHANGMO,CHANGMO,,0.07386,0.142779
애프터스쿨,애프터스쿨,,0.00477,0.006196
NS윤지,NS윤지,,0.360265,0.02678
LP,LP,,0.012714,0.006248
2PM,2PM,,0.214148,0.012998
Lavin,Lavin,,0.026908,0.016462
SebastianThott,SebastianThott,,0.180052,0.071206
CarlosBattey,CarlosBattey,,0.013704,0.053933
